features_dict,address,description,more_features_1_dict,more_features_2_dict
"{'138 m²': '138 m²', '2 Chambres': '2 Chambres', '1 Salle de bain': '1 Salle de bain'}",Sidi Maarouf à Casablanca,"Vend appartement à Sidi Maarouf. 2 belles chambres
NOS DUPLEX ET APPARTEMENTS
Nos appartements et duplex d’exception s’inspirent des grands principes architecturaux, alliant charme et fonctionnalité de façon inégalée. La conception des plans, l’aménagement des volumes, et la qualité des prestations concourent à la signature des réalisations de KLK Khayatey Living, qui accorde un soin particulier pour assurer un confort et une qualité de vie incomparables à nos résidents.

CASAVIEW vous offre des duplex et appartements de prestige, dotés d’une finition exceptionnelle. Nos choix de menuiserie en bois luxueux, de sanitaire et de robinetterie haut de gamme vous plongent dans un univers d’élégance.

Les appartements, accessibles par ascenseur, ont été pensés pour que chaque famille trouve l’appartement de ses rêves, synonyme d’épanouissement, de bien-être et de sérénité. Vous méritez le meilleur, et Casaview l’incarne.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Standing\nHaut standing': 'Standing\nHaut standing', 'État\nFinalisé': 'État\nFinalisé'}",{'Ascenseur': 'Ascenseur'}
"{'99 m²': '99 m²', '4 Pièces': '4 Pièces', '3 Chambres': '3 Chambres', '2 Salles de bains': '2 Salles de bains'}",Californie à Casablanca,"Très bel appartement à vendre à Californie Casablanca
Les Allées de Californie, plus qu’une simple résidence, un cadre de vie créé exclusivement pour vous !

Composée de 4 immeubles en R+4, Les Allées de Californie 2 est une résidence fermée et sécurisée située au quartier Californie qui vous propose des appartements haut standing de 3 chambres.

La résidence propose les prestations suivantes :

- Sécurité 24h/7j.
- Espaces verts et jardins intérieurs
- Vidéosurveillance
- Places de parking titrées

Les appartements des Allées de Californie 2 sont dotés des finitions et des équipements premium :

- Installation de la domotique
- Climatisation en split
- Parquet stratifié dans les chambres
- Marbre dans le reste de la maison
- Carrelage antidérapant dans les salles de bains
- Cuisine équipée d’un trio (Four, hotte, plaque de cuisson) et d'un lave-vaisselle
- Douche à l’italienne
- Porte d’entrée et placards en bois de chêne ou similaire
- Pré-installation de la fibre optique

Le projet est situé au centre du quartier Californie. Il dispose d’une proximité immédiate avec toutes les principales artères de la ville et les services de proximité :

- Écoles
- Supermarchés/hypermarchés
- Pharmacies
- Cliniques
- Salles de sport

Les titres fonciers sont disponibles et la livraison est immédiate.

Programmez votre visite dès maintenant, en appelant le 05200 100 20.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', 'Standing\nHaut standing': 'Standing\nHaut standing', 'État\nFinalisé': 'État\nFinalisé'}","{'Climatisation': 'Climatisation', 'Sécurité': 'Sécurité', 'Cuisine équipée': 'Cuisine équipée', 'Four': 'Four'}"
"{'91 m²': '91 m²', '4 Pièces': '4 Pièces', '2 Chambres': '2 Chambres', '2 Salles de bains': '2 Salles de bains'}",Beauséjour à Casablanca,"Appartement à vendre 2 chambres à Beauséjour
Coquet appartement 2 chambres dans une résidence au quartier Beauséjour/Boulevard Ghandi.
L’appartement est au 5ème étage, il a une superficie totale de 91 m² dont 26 m² de balcon/place de parking titré, il est composé d’un salon avec coin cheminée, salle de bain des invités, 1 chambre enfant avec balcon et une chambre parentale avec sa salle de bain ainsi qu’une cuisine avec balcon.
La résidence bénéficie d’un emplacement exceptionnel, elle est proche de toutes commodités au centre de Casablanca sur le boulevard GHANDI.

Honoraires agence : 2.5% plus TVA (20%)","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Étage du bien\n5ème': 'Étage du bien\n5ème', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Salon Marocain': 'Salon Marocain', 'Cheminée': 'Cheminée', 'Cuisine équipée': 'Cuisine équipée'}"
"{'147 m²': '147 m²', '4 Pièces': '4 Pièces', '3 Chambres': '3 Chambres', '2 Salles de bains': '2 Salles de bains'}",Foncière à Casablanca,"Appartement 3 chambres boulevard de la résistance
Appartement 3 chambres de 147 m² dont 10 m² de garage titré au 5ème étage d’un immeuble très bien entretenu
Hall d’entrée avec espace pour salle à manger
Grande réception avec salon marocain et salon européen
Cheminée fonctionnelle
Terrasse avec peu de vis à vis
Grande cuisine avec buanderie
Chambre parentale avec sa salle de bain
2 chambres enfants
Salle de bain invités
Grande cuisine avec buanderie
2 places de parking
Proche boulevard de la résistance, tram way au pied de l’immeuble, immeuble calme et bien géré.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n5-10 ans': 'Etat du bien\n5-10 ans', 'Étage du bien\n5ème': 'Étage du bien\n5ème', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Cheminée': 'Cheminée', 'Climatisation': 'Climatisation', 'Cuisine équipée': 'Cuisine équipée', 'Réfrigérateur': 'Réfrigérateur', 'Four': 'Four', 'Machine à laver': 'Machine à laver', 'Micro-ondes': 'Micro-ondes'}"
"{'65 m²': '65 m²', '1 Salle de bain': '1 Salle de bain'}",Hay Hassani à Casablanca,"Plateau bureau à vendre à Hay Hassani
Missimi Office le nouveau standard professionnel en plein cœur de la ville de Casablanca.

Situé au quartier de Hay Hassani, à 2 pas de Marjane et à 6 min de la station du tramway, ce projet unique incarne l'alliance parfaite entre design moderne, prestations de standing.

Missimi office vise à concevoir et mettre en œuvre une nouvelle gamme de plateaux de bureaux pour améliorer l'efficacité, le confort et l'esthétique des espaces de travail. Ce projet répond à la nécessité croissante d'espaces de travail flexibles qui favorisent la productivité et le bien-être des utilisateurs.

Les plateaux bureaux offrent des prestations de standing et un design moderne qui s’intègrent harmonieusement dans différents styles d’aménagement de bureaux.

Les superficies varient entre 48m2 et 66m2 à partir de 14 000 DH/m2.

Pour en savoir plus sur ce projet unique ou pour organiser une visite personnalisée, contactez nous dès aujourd'hui sur le 05 200 100 00.","{'Type de bien\nBureau': 'Type de bien\nBureau', 'Etat\nNouveau': 'Etat\nNouveau', 'Étage du bien\n2ème': 'Étage du bien\n2ème', 'Standing\nMoyen standing': 'Standing\nMoyen standing', 'État\nEn cours de construction': 'État\nEn cours de construction', 'Livraison:\naoût 2024': 'Livraison:\naoût 2024'}",{}
"{'33 m²': '33 m²', '1 Salle de bain': '1 Salle de bain'}",Sidi Maarouf à Casablanca,Vidéo promotionnelle,"{'Type de bien\nLocal commercial': 'Type de bien\nLocal commercial', 'Etat\nNouveau': 'Etat\nNouveau', ""Etat du bien\nMoins d'un an"": ""Etat du bien\nMoins d'un an"", 'État\nEn cours de construction': 'État\nEn cours de construction', 'Livraison:\ndécembre 2023': 'Livraison:\ndécembre 2023'}","{'Ascenseur': 'Ascenseur', 'Sécurité': 'Sécurité'}"
"{'87 m²': '87 m²', '4 Pièces': '4 Pièces', '3 Chambres': '3 Chambres', '2 Salles de bains': '2 Salles de bains'}",Bernoussi à Casablanca,Vidéo promotionnelle,"{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', 'Standing\nMoyen standing': 'Standing\nMoyen standing', 'État\nFinalisé': 'État\nFinalisé'}","{'Piscine': 'Piscine', 'Climatisation': 'Climatisation', 'Sécurité': 'Sécurité', 'Cuisine équipée': 'Cuisine équipée'}"
"{'503 m²': '503 m²', '8 Pièces': '8 Pièces', '4 Chambres': '4 Chambres', '3 Salles de bains': '3 Salles de bains'}",Californie à Casablanca,"Villa à vendre à Californie boulevard de la Mecque
Nichée dans le prestigieux quartier de Californie à Casablanca, cette villa traditionnelle marocaine s'étend sur un terrain de 500 m². Proche de l'école américaine, elle allie le charme authentique de l'architecture marocaine à un confort moderne. L'intérieur spacieux et lumineux se compose de pièces ornées de zellige et de bois sculpté. La villa dispose de plusieurs salons, d'une cuisine équipée au sous-sol, de chambres avec salles de bains attenantes et de vastes terrasses surplombant un jardin luxuriant.
La maison a une orientation optimale Est/Sud/Ouest, Bien ensoleillée toute la journée sans aucun vis-à-vis dans une résidence fermée sécurisée 24/7. Un havre de paix idéal pour une vie familiale élégante et sereine.

Honoraires agence : 2.5% plus TVA (20%)","{'Type de bien\nVilla': 'Type de bien\nVilla', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Jardin': 'Jardin', 'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Piscine': 'Piscine', 'Chambre rangement': 'Chambre rangement', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Cheminée': 'Cheminée', 'Climatisation': 'Climatisation', 'Sécurité': 'Sécurité', 'Cuisine équipée': 'Cuisine équipée', 'Réfrigérateur': 'Réfrigérateur', 'Four': 'Four', 'Machine à laver': 'Machine à laver', 'Micro-ondes': 'Micro-ondes'}"
"{'133 m²': '133 m²', '4 Pièces': '4 Pièces', '3 Chambres': '3 Chambres', '2 Salles de bains': '2 Salles de bains'}",Mers Sultan à Casablanca,"Appartement 3 chambres 2 Mars
Appartement 3 chambres à vendre au quartier 2 Mars proche de l'école la résidence et à proximité immédiate de Marjane, du Mc donald's et du KFC
Appartement traversant au 5ème étage, il a 2 façades sans aucun vis à vis coté salon et chambre parentale
Contactez nous pour de plus amples informations","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nÀ rénover': 'Etat\nÀ rénover', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Étage du bien\n5ème': 'Étage du bien\n5ème', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nCarrelage': 'Type du sol\nCarrelage'}","{'Concierge': 'Concierge', 'Façade extérieure': 'Façade extérieure', 'Salon Marocain': 'Salon Marocain', 'Antenne parabolique': 'Antenne parabolique'}"
"{'111 m²': '111 m²', '2 Chambres': '2 Chambres', '1 Salle de bain': '1 Salle de bain'}",Sidi Maarouf à Casablanca,"Appartement à vendre à Sidi Maarouf. 2 chambres agréables
NOS DUPLEX ET APPARTEMENTS
Nos appartements et duplex d’exception s’inspirent des grands principes architecturaux, alliant charme et fonctionnalité de façon inégalée. La conception des plans, l’aménagement des volumes, et la qualité des prestations concourent à la signature des réalisations de KLK Khayatey Living, qui accorde un soin particulier pour assurer un confort et une qualité de vie incomparables à nos résidents.

CASAVIEW vous offre des duplex et appartements de prestige, dotés d’une finition exceptionnelle. Nos choix de menuiserie en bois luxueux, de sanitaire et de robinetterie haut de gamme vous plongent dans un univers d’élégance.

Les appartements, accessibles par ascenseur, ont été pensés pour que chaque famille trouve l’appartement de ses rêves, synonyme d’épanouissement, de bien-être et de sérénité. Vous méritez le meilleur, et Casaview l’incarne.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Standing\nHaut standing': 'Standing\nHaut standing', 'État\nFinalisé': 'État\nFinalisé'}",{'Ascenseur': 'Ascenseur'}
"{'118 m²': '118 m²', '3 Pièces': '3 Pièces', '2 Chambres': '2 Chambres', '1 Salle de bain': '1 Salle de bain'}",Sidi Maarouf à Casablanca,"Vente d'un bel appartement à Sidi Maarouf. 2 belles chambres
Découvrez cet appartement à vendre. Prix 1 458 000 DH. 3 pièces, 1 salle de bains, superficie 118 m². 2 chambres. Nouveau. Ascenseur dans la résidence.

Idéal si vous souhaitez acheter un appartement à Sidi Maarouf, Casablanca.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', 'Standing\nHaut standing': 'Standing\nHaut standing', 'État\nFinalisé': 'État\nFinalisé'}",{'Ascenseur': 'Ascenseur'}
"{'27 m²': '27 m²', '1 Salle de bain': '1 Salle de bain'}",Derb Omar à Casablanca,"Local à vendre Surface de 27m² dont 9m² de mezzanine
Central Avenue - Galerie Réunis se trouve sur le site des anciens Magasins Réunis. La galerie commerciale Réunis sera ainsi ressuscité et proposera 28 commerces d'une superficie de 19 à 57 m². Cette galerie d’inspiration Art Deco à quelques secondes de l'épicentre de Derb Omar proposera un accès et une exposition premium aux différents produits de Derb Omar dans un cadre raffiné et compact. Les boutiques seront livrés avec de belles finitions et des vitrines Art Deco intemporelle qui seront le gage du maintien sur le long terme d’un environnement commercial de prestige.

- Vous souhaitez développer une activité? Avoir un nouvel espace d’exposition ? La Galerie Réunis est à la hauteur de vos ambitions dans l'Épicentre commercial de Casablanca au cœur de l’action de la ville.

- Emplacement vous permettant d’accéder à la zone de chalandise la plus large de Casablanca au cœur de Derb Omar, poumon commercial du Maroc.

- Vous souhaitez un rendement locatif à rendement élevé ? Nos commerces répondront à l’ensemble de vos critères.

- Commerces à partir de de 670 000 Dhs","{'Type de bien\nLocal commercial': 'Type de bien\nLocal commercial', 'Etat\nNouveau': 'Etat\nNouveau', 'Standing\nHaut standing': 'Standing\nHaut standing', 'État\nEn cours de construction': 'État\nEn cours de construction'}",{}
"{'70 m²': '70 m²', '1 Salle de bain': '1 Salle de bain'}",Foncière à Casablanca,"Vend bureaux à Foncière. Superficie 70 m²
Central Avenue - Centre Médical est au cœur de la ville et offrira 14 cabinets médicaux de haut standing d'une surface entre 50 à 80 m2. Le centre de Santé accueillera les patients dans un environnement répondant aux exigences de fonctionnalité, d’organisation et de modernité.
Les cabinets médicaux jouiront d'une situation géographique centrale remarquable à l'ultra centre de Casablanca permettant à tous les patients d'être à des distances raisonnables de leur médecin. Le centre est à quelques pas d'un arrêt de tramway, à 5 mn de Casa Port et du port de Casablanca, à 10 mn de Casa Voyageurs. Chaque cabinet médical aura au minima une place de parking titrée et les patients pourront profiter du parking public pour un accès rapide par ascenseur à leur médecin. Les cabinets médicaux auront de belles ouvertures et vues sur les façades historiques environnantes. Les cabinets seront livrés avec de belles finitions, une climatisation, ainsi qu'un double vitrage pour une isolation phonique et thermique optimale.

- Vous souhaitez ouvrir votre cabinet médical? Trouvez un espace à la hauteur de vos ambitions dans l'Épicentre de Casablanca au cœur de de la ville.
- Opter pour une adresse de prestige afin d’accueillir vos patients dans un environnement spécialisé, moderne et fonctionnel.
- Cabinet médical à partir de 940 000 Dhs","{'Type de bien\nBureau': 'Type de bien\nBureau', 'Standing\nHaut standing': 'Standing\nHaut standing', 'État\nEn cours de construction': 'État\nEn cours de construction'}","{'Ascenseur': 'Ascenseur', 'Climatisation': 'Climatisation', 'Double vitrage': 'Double vitrage'}"
