price,surface,piece,rooms,bathroom,address,description,more_features_1_dict,more_features_2_dict,dict1,dict2,dict2.Ascenseur,dict2.Sécurité,dict2.Cuisine équipée,dict2.Four,dict2.Jardin,dict2.Terrasse,dict2.Garage,dict2.Piscine,dict2.Salon Marocain,dict2.Salon européen,dict2.Antenne parabolique,dict2.Chauffage central,dict2.Concierge,dict2.Cheminée,dict2.Climatisation,dict2.Double vitrage,dict2.Porte blindée,dict2.Réfrigérateur,dict2.Machine à laver,dict2.Micro-ondes,dict2.Chambre rangement,dict2.Façade extérieure,dict2.Vue sur mer,dict2.Meublé,dict1.Type de bien,dict1.Etat,dict1.État,dict1.Étage du bien,dict1.Standing,dict1.Livraison:,dict1.Etat du bien,dict1.Orientation,dict1.Type du sol,dict1.Surface habitable,dict1.Surface extérieure,dict1.Type de terrain,dict1.Constructibilité,dict1.Livraison,dict1.Statut du terrain
1 695 000 DH,138 m²,2 Chambres,1 Salle de bain,,Sidi Maarouf à Casablanca,"Vend appartement à Sidi Maarouf. 2 belles chambres
NOS DUPLEX ET APPARTEMENTS
Nos appartements et duplex d’exception s’inspirent des grands principes architecturaux, alliant charme et fonctionnalité de façon inégalée. La conception des plans, l’aménagement des volumes, et la qualité des prestations concourent à la signature des réalisations de KLK Khayatey Living, qui accorde un soin particulier pour assurer un confort et une qualité de vie incomparables à nos résidents.

CASAVIEW vous offre des duplex et appartements de prestige, dotés d’une finition exceptionnelle. Nos choix de menuiserie en bois luxueux, de sanitaire et de robinetterie haut de gamme vous plongent dans un univers d’élégance.

Les appartements, accessibles par ascenseur, ont été pensés pour que chaque famille trouve l’appartement de ses rêves, synonyme d’épanouissement, de bien-être et de sérénité. Vous méritez le meilleur, et Casaview l’incarne.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Standing\nHaut standing': 'Standing\nHaut standing', 'État\nFinalisé': 'État\nFinalisé'}",{'Ascenseur': 'Ascenseur'},"{'Type de bien': 'Appartement', 'Standing': 'Haut standing', 'État': 'Finalisé'}",{'Ascenseur': 'Ascenseur'},Ascenseur,,,,,,,,,,,,,,,,,,,,,,,,Appartement,,Finalisé,,Haut standing,,,,,,,,,,
1 410 000 DH,99 m²,4 Pièces,3 Chambres,2 Salles de bains,Californie à Casablanca,"Très bel appartement à vendre à Californie Casablanca
Les Allées de Californie, plus qu’une simple résidence, un cadre de vie créé exclusivement pour vous !

Composée de 4 immeubles en R+4, Les Allées de Californie 2 est une résidence fermée et sécurisée située au quartier Californie qui vous propose des appartements haut standing de 3 chambres.

La résidence propose les prestations suivantes :

- Sécurité 24h/7j.
- Espaces verts et jardins intérieurs
- Vidéosurveillance
- Places de parking titrées

Les appartements des Allées de Californie 2 sont dotés des finitions et des équipements premium :

- Installation de la domotique
- Climatisation en split
- Parquet stratifié dans les chambres
- Marbre dans le reste de la maison
- Carrelage antidérapant dans les salles de bains
- Cuisine équipée d’un trio (Four, hotte, plaque de cuisson) et d'un lave-vaisselle
- Douche à l’italienne
- Porte d’entrée et placards en bois de chêne ou similaire
- Pré-installation de la fibre optique

Le projet est situé au centre du quartier Californie. Il dispose d’une proximité immédiate avec toutes les principales artères de la ville et les services de proximité :

- Écoles
- Supermarchés/hypermarchés
- Pharmacies
- Cliniques
- Salles de sport

Les titres fonciers sont disponibles et la livraison est immédiate.

Programmez votre visite dès maintenant, en appelant le 05200 100 20.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', 'Standing\nHaut standing': 'Standing\nHaut standing', 'État\nFinalisé': 'État\nFinalisé'}","{'Climatisation': 'Climatisation', 'Sécurité': 'Sécurité', 'Cuisine équipée': 'Cuisine équipée', 'Four': 'Four'}","{'Type de bien': 'Appartement', 'Etat': 'Nouveau', 'Standing': 'Haut standing', 'État': 'Finalisé'}","{'Climatisation': 'Climatisation', 'Sécurité': 'Sécurité', 'Cuisine équipée': 'Cuisine équipée', 'Four': 'Four'}",,Sécurité,Cuisine équipée,Four,,,,,,,,,,,Climatisation,,,,,,,,,,Appartement,Nouveau,Finalisé,,Haut standing,,,,,,,,,,
1 100 000 DH,91 m²,4 Pièces,2 Chambres,2 Salles de bains,Beauséjour à Casablanca,"Appartement à vendre 2 chambres à Beauséjour
Coquet appartement 2 chambres dans une résidence au quartier Beauséjour/Boulevard Ghandi.
L’appartement est au 5ème étage, il a une superficie totale de 91 m² dont 26 m² de balcon/place de parking titré, il est composé d’un salon avec coin cheminée, salle de bain des invités, 1 chambre enfant avec balcon et une chambre parentale avec sa salle de bain ainsi qu’une cuisine avec balcon.
La résidence bénéficie d’un emplacement exceptionnel, elle est proche de toutes commodités au centre de Casablanca sur le boulevard GHANDI.

Honoraires agence : 2.5% plus TVA (20%)","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Étage du bien\n5ème': 'Étage du bien\n5ème', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Salon Marocain': 'Salon Marocain', 'Cheminée': 'Cheminée', 'Cuisine équipée': 'Cuisine équipée'}","{'Type de bien': 'Appartement', 'Etat': 'Bon état', 'Etat du bien': '10-20 ans', 'Étage du bien': '5ème', 'Orientation': 'Sud', 'Type du sol': 'Marbre'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Salon Marocain': 'Salon Marocain', 'Cheminée': 'Cheminée', 'Cuisine équipée': 'Cuisine équipée'}",Ascenseur,,Cuisine équipée,,,Terrasse,Garage,,Salon Marocain,,,,Concierge,Cheminée,,,,,,,,,,,Appartement,Bon état,,5ème,,,10-20 ans,Sud,Marbre,,,,,,
1 690 000 DH,147 m²,4 Pièces,3 Chambres,2 Salles de bains,Foncière à Casablanca,"Appartement 3 chambres boulevard de la résistance
Appartement 3 chambres de 147 m² dont 10 m² de garage titré au 5ème étage d’un immeuble très bien entretenu
Hall d’entrée avec espace pour salle à manger
Grande réception avec salon marocain et salon européen
Cheminée fonctionnelle
Terrasse avec peu de vis à vis
Grande cuisine avec buanderie
Chambre parentale avec sa salle de bain
2 chambres enfants
Salle de bain invités
Grande cuisine avec buanderie
2 places de parking
Proche boulevard de la résistance, tram way au pied de l’immeuble, immeuble calme et bien géré.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n5-10 ans': 'Etat du bien\n5-10 ans', 'Étage du bien\n5ème': 'Étage du bien\n5ème', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Cheminée': 'Cheminée', 'Climatisation': 'Climatisation', 'Cuisine équipée': 'Cuisine équipée', 'Réfrigérateur': 'Réfrigérateur', 'Four': 'Four', 'Machine à laver': 'Machine à laver', 'Micro-ondes': 'Micro-ondes'}","{'Type de bien': 'Appartement', 'Etat': 'Bon état', 'Etat du bien': '5-10 ans', 'Étage du bien': '5ème', 'Orientation': 'Sud', 'Type du sol': 'Marbre'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Cheminée': 'Cheminée', 'Climatisation': 'Climatisation', 'Cuisine équipée': 'Cuisine équipée', 'Réfrigérateur': 'Réfrigérateur', 'Four': 'Four', 'Machine à laver': 'Machine à laver', 'Micro-ondes': 'Micro-ondes'}",Ascenseur,,Cuisine équipée,Four,,Terrasse,Garage,,Salon Marocain,Salon européen,Antenne parabolique,,Concierge,Cheminée,Climatisation,,,Réfrigérateur,Machine à laver,Micro-ondes,,,,,Appartement,Bon état,,5ème,,,5-10 ans,Sud,Marbre,,,,,,
998 675 DH,65 m²,1 Salle de bain,,,Hay Hassani à Casablanca,"Plateau bureau à vendre à Hay Hassani
Missimi Office le nouveau standard professionnel en plein cœur de la ville de Casablanca.

Situé au quartier de Hay Hassani, à 2 pas de Marjane et à 6 min de la station du tramway, ce projet unique incarne l'alliance parfaite entre design moderne, prestations de standing.

Missimi office vise à concevoir et mettre en œuvre une nouvelle gamme de plateaux de bureaux pour améliorer l'efficacité, le confort et l'esthétique des espaces de travail. Ce projet répond à la nécessité croissante d'espaces de travail flexibles qui favorisent la productivité et le bien-être des utilisateurs.

Les plateaux bureaux offrent des prestations de standing et un design moderne qui s’intègrent harmonieusement dans différents styles d’aménagement de bureaux.

Les superficies varient entre 48m2 et 66m2 à partir de 14 000 DH/m2.

Pour en savoir plus sur ce projet unique ou pour organiser une visite personnalisée, contactez nous dès aujourd'hui sur le 05 200 100 00.","{'Type de bien\nBureau': 'Type de bien\nBureau', 'Etat\nNouveau': 'Etat\nNouveau', 'Étage du bien\n2ème': 'Étage du bien\n2ème', 'Standing\nMoyen standing': 'Standing\nMoyen standing', 'État\nEn cours de construction': 'État\nEn cours de construction', 'Livraison:\naoût 2024': 'Livraison:\naoût 2024'}",{},"{'Type de bien': 'Bureau', 'Etat': 'Nouveau', 'Étage du bien': '2ème', 'Standing': 'Moyen standing', 'État': 'En cours de construction', 'Livraison:': 'août 2024'}",{},,,,,,,,,,,,,,,,,,,,,,,,,Bureau,Nouveau,En cours de construction,2ème,Moyen standing,août 2024,,,,,,,,,
2 550 000 DH,33 m²,1 Salle de bain,,,Sidi Maarouf à Casablanca,Vidéo promotionnelle,"{'Type de bien\nLocal commercial': 'Type de bien\nLocal commercial', 'Etat\nNouveau': 'Etat\nNouveau', ""Etat du bien\nMoins d'un an"": ""Etat du bien\nMoins d'un an"", 'État\nEn cours de construction': 'État\nEn cours de construction', 'Livraison:\ndécembre 2023': 'Livraison:\ndécembre 2023'}","{'Ascenseur': 'Ascenseur', 'Sécurité': 'Sécurité'}","{'Type de bien': 'Local commercial', 'Etat': 'Nouveau', 'Etat du bien': ""Moins d'un an"", 'État': 'En cours de construction', 'Livraison:': 'décembre 2023'}","{'Ascenseur': 'Ascenseur', 'Sécurité': 'Sécurité'}",Ascenseur,Sécurité,,,,,,,,,,,,,,,,,,,,,,,Local commercial,Nouveau,En cours de construction,,,décembre 2023,Moins d'un an,,,,,,,,
960 000 DH,87 m²,4 Pièces,3 Chambres,2 Salles de bains,Bernoussi à Casablanca,Vidéo promotionnelle,"{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', 'Standing\nMoyen standing': 'Standing\nMoyen standing', 'État\nFinalisé': 'État\nFinalisé'}","{'Piscine': 'Piscine', 'Climatisation': 'Climatisation', 'Sécurité': 'Sécurité', 'Cuisine équipée': 'Cuisine équipée'}","{'Type de bien': 'Appartement', 'Etat': 'Nouveau', 'Standing': 'Moyen standing', 'État': 'Finalisé'}","{'Piscine': 'Piscine', 'Climatisation': 'Climatisation', 'Sécurité': 'Sécurité', 'Cuisine équipée': 'Cuisine équipée'}",,Sécurité,Cuisine équipée,,,,,Piscine,,,,,,,Climatisation,,,,,,,,,,Appartement,Nouveau,Finalisé,,Moyen standing,,,,,,,,,,
9 800 000 DH,503 m²,8 Pièces,4 Chambres,3 Salles de bains,Californie à Casablanca,"Villa à vendre à Californie boulevard de la Mecque
Nichée dans le prestigieux quartier de Californie à Casablanca, cette villa traditionnelle marocaine s'étend sur un terrain de 500 m². Proche de l'école américaine, elle allie le charme authentique de l'architecture marocaine à un confort moderne. L'intérieur spacieux et lumineux se compose de pièces ornées de zellige et de bois sculpté. La villa dispose de plusieurs salons, d'une cuisine équipée au sous-sol, de chambres avec salles de bains attenantes et de vastes terrasses surplombant un jardin luxuriant.
La maison a une orientation optimale Est/Sud/Ouest, Bien ensoleillée toute la journée sans aucun vis-à-vis dans une résidence fermée sécurisée 24/7. Un havre de paix idéal pour une vie familiale élégante et sereine.

Honoraires agence : 2.5% plus TVA (20%)","{'Type de bien\nVilla': 'Type de bien\nVilla', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Jardin': 'Jardin', 'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Piscine': 'Piscine', 'Chambre rangement': 'Chambre rangement', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Cheminée': 'Cheminée', 'Climatisation': 'Climatisation', 'Sécurité': 'Sécurité', 'Cuisine équipée': 'Cuisine équipée', 'Réfrigérateur': 'Réfrigérateur', 'Four': 'Four', 'Machine à laver': 'Machine à laver', 'Micro-ondes': 'Micro-ondes'}","{'Type de bien': 'Villa', 'Etat': 'Bon état', 'Etat du bien': '10-20 ans', 'Orientation': 'Sud', 'Type du sol': 'Marbre'}","{'Jardin': 'Jardin', 'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Piscine': 'Piscine', 'Chambre rangement': 'Chambre rangement', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Cheminée': 'Cheminée', 'Climatisation': 'Climatisation', 'Sécurité': 'Sécurité', 'Cuisine équipée': 'Cuisine équipée', 'Réfrigérateur': 'Réfrigérateur', 'Four': 'Four', 'Machine à laver': 'Machine à laver', 'Micro-ondes': 'Micro-ondes'}",,Sécurité,Cuisine équipée,Four,Jardin,Terrasse,Garage,Piscine,Salon Marocain,Salon européen,Antenne parabolique,,,Cheminée,Climatisation,,,Réfrigérateur,Machine à laver,Micro-ondes,Chambre rangement,,,,Villa,Bon état,,,,,10-20 ans,Sud,Marbre,,,,,,
1 590 000 DH,133 m²,4 Pièces,3 Chambres,2 Salles de bains,Mers Sultan à Casablanca,"Appartement 3 chambres 2 Mars
Appartement 3 chambres à vendre au quartier 2 Mars proche de l'école la résidence et à proximité immédiate de Marjane, du Mc donald's et du KFC
Appartement traversant au 5ème étage, il a 2 façades sans aucun vis à vis coté salon et chambre parentale
Contactez nous pour de plus amples informations","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nÀ rénover': 'Etat\nÀ rénover', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Étage du bien\n5ème': 'Étage du bien\n5ème', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nCarrelage': 'Type du sol\nCarrelage'}","{'Concierge': 'Concierge', 'Façade extérieure': 'Façade extérieure', 'Salon Marocain': 'Salon Marocain', 'Antenne parabolique': 'Antenne parabolique'}","{'Type de bien': 'Appartement', 'Etat': 'À rénover', 'Etat du bien': '10-20 ans', 'Étage du bien': '5ème', 'Orientation': 'Sud', 'Type du sol': 'Carrelage'}","{'Concierge': 'Concierge', 'Façade extérieure': 'Façade extérieure', 'Salon Marocain': 'Salon Marocain', 'Antenne parabolique': 'Antenne parabolique'}",,,,,,,,,Salon Marocain,,Antenne parabolique,,Concierge,,,,,,,,,Façade extérieure,,,Appartement,À rénover,,5ème,,,10-20 ans,Sud,Carrelage,,,,,,
1 502 500 DH,111 m²,2 Chambres,1 Salle de bain,,Sidi Maarouf à Casablanca,"Appartement à vendre à Sidi Maarouf. 2 chambres agréables
NOS DUPLEX ET APPARTEMENTS
Nos appartements et duplex d’exception s’inspirent des grands principes architecturaux, alliant charme et fonctionnalité de façon inégalée. La conception des plans, l’aménagement des volumes, et la qualité des prestations concourent à la signature des réalisations de KLK Khayatey Living, qui accorde un soin particulier pour assurer un confort et une qualité de vie incomparables à nos résidents.

CASAVIEW vous offre des duplex et appartements de prestige, dotés d’une finition exceptionnelle. Nos choix de menuiserie en bois luxueux, de sanitaire et de robinetterie haut de gamme vous plongent dans un univers d’élégance.

Les appartements, accessibles par ascenseur, ont été pensés pour que chaque famille trouve l’appartement de ses rêves, synonyme d’épanouissement, de bien-être et de sérénité. Vous méritez le meilleur, et Casaview l’incarne.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Standing\nHaut standing': 'Standing\nHaut standing', 'État\nFinalisé': 'État\nFinalisé'}",{'Ascenseur': 'Ascenseur'},"{'Type de bien': 'Appartement', 'Standing': 'Haut standing', 'État': 'Finalisé'}",{'Ascenseur': 'Ascenseur'},Ascenseur,,,,,,,,,,,,,,,,,,,,,,,,Appartement,,Finalisé,,Haut standing,,,,,,,,,,
1 458 000 DH,118 m²,3 Pièces,2 Chambres,1 Salle de bain,Sidi Maarouf à Casablanca,"Vente d'un bel appartement à Sidi Maarouf. 2 belles chambres
Découvrez cet appartement à vendre. Prix 1 458 000 DH. 3 pièces, 1 salle de bains, superficie 118 m². 2 chambres. Nouveau. Ascenseur dans la résidence.

Idéal si vous souhaitez acheter un appartement à Sidi Maarouf, Casablanca.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', 'Standing\nHaut standing': 'Standing\nHaut standing', 'État\nFinalisé': 'État\nFinalisé'}",{'Ascenseur': 'Ascenseur'},"{'Type de bien': 'Appartement', 'Etat': 'Nouveau', 'Standing': 'Haut standing', 'État': 'Finalisé'}",{'Ascenseur': 'Ascenseur'},Ascenseur,,,,,,,,,,,,,,,,,,,,,,,,Appartement,Nouveau,Finalisé,,Haut standing,,,,,,,,,,
700 000 DH,27 m²,1 Salle de bain,,,Derb Omar à Casablanca,"Local à vendre Surface de 27m² dont 9m² de mezzanine
Central Avenue - Galerie Réunis se trouve sur le site des anciens Magasins Réunis. La galerie commerciale Réunis sera ainsi ressuscité et proposera 28 commerces d'une superficie de 19 à 57 m². Cette galerie d’inspiration Art Deco à quelques secondes de l'épicentre de Derb Omar proposera un accès et une exposition premium aux différents produits de Derb Omar dans un cadre raffiné et compact. Les boutiques seront livrés avec de belles finitions et des vitrines Art Deco intemporelle qui seront le gage du maintien sur le long terme d’un environnement commercial de prestige.

- Vous souhaitez développer une activité? Avoir un nouvel espace d’exposition ? La Galerie Réunis est à la hauteur de vos ambitions dans l'Épicentre commercial de Casablanca au cœur de l’action de la ville.

- Emplacement vous permettant d’accéder à la zone de chalandise la plus large de Casablanca au cœur de Derb Omar, poumon commercial du Maroc.

- Vous souhaitez un rendement locatif à rendement élevé ? Nos commerces répondront à l’ensemble de vos critères.

- Commerces à partir de de 670 000 Dhs","{'Type de bien\nLocal commercial': 'Type de bien\nLocal commercial', 'Etat\nNouveau': 'Etat\nNouveau', 'Standing\nHaut standing': 'Standing\nHaut standing', 'État\nEn cours de construction': 'État\nEn cours de construction'}",{},"{'Type de bien': 'Local commercial', 'Etat': 'Nouveau', 'Standing': 'Haut standing', 'État': 'En cours de construction'}",{},,,,,,,,,,,,,,,,,,,,,,,,,Local commercial,Nouveau,En cours de construction,,Haut standing,,,,,,,,,,
940 000 DH,70 m²,1 Salle de bain,,,Foncière à Casablanca,"Vend bureaux à Foncière. Superficie 70 m²
Central Avenue - Centre Médical est au cœur de la ville et offrira 14 cabinets médicaux de haut standing d'une surface entre 50 à 80 m2. Le centre de Santé accueillera les patients dans un environnement répondant aux exigences de fonctionnalité, d’organisation et de modernité.
Les cabinets médicaux jouiront d'une situation géographique centrale remarquable à l'ultra centre de Casablanca permettant à tous les patients d'être à des distances raisonnables de leur médecin. Le centre est à quelques pas d'un arrêt de tramway, à 5 mn de Casa Port et du port de Casablanca, à 10 mn de Casa Voyageurs. Chaque cabinet médical aura au minima une place de parking titrée et les patients pourront profiter du parking public pour un accès rapide par ascenseur à leur médecin. Les cabinets médicaux auront de belles ouvertures et vues sur les façades historiques environnantes. Les cabinets seront livrés avec de belles finitions, une climatisation, ainsi qu'un double vitrage pour une isolation phonique et thermique optimale.

- Vous souhaitez ouvrir votre cabinet médical? Trouvez un espace à la hauteur de vos ambitions dans l'Épicentre de Casablanca au cœur de de la ville.
- Opter pour une adresse de prestige afin d’accueillir vos patients dans un environnement spécialisé, moderne et fonctionnel.
- Cabinet médical à partir de 940 000 Dhs","{'Type de bien\nBureau': 'Type de bien\nBureau', 'Standing\nHaut standing': 'Standing\nHaut standing', 'État\nEn cours de construction': 'État\nEn cours de construction'}","{'Ascenseur': 'Ascenseur', 'Climatisation': 'Climatisation', 'Double vitrage': 'Double vitrage'}","{'Type de bien': 'Bureau', 'Standing': 'Haut standing', 'État': 'En cours de construction'}","{'Ascenseur': 'Ascenseur', 'Climatisation': 'Climatisation', 'Double vitrage': 'Double vitrage'}",Ascenseur,,,,,,,,,,,,,,Climatisation,Double vitrage,,,,,,,,,Bureau,,En cours de construction,,Haut standing,,,,,,,,,,
1 196 000 DH,111 m²,3 Pièces,2 Chambres,2 Salles de bains,Hay Hassani à Casablanca,"Appartement lumineux à vendre Mazola
Appartement lumineux et moderne à Mazola, Casablanca – 111 m²

Découvrez cet appartement rénové avec soin, idéalement situé et prêt à vous accueillir !
Salon moderne : spacieux, climatisé, avec salle à manger intégrée.
Chambres:
- Suite parentale avec dressing, salle de bain privative et climatisation.
- Chambre secondaire, idéale pour enfants.
Cuisine équipée avec accès à une terrasse privée.
Atouts supplémentaires :
- Sols en marbre, serrure intelligente, caméra de surveillance.
- Parking privé titré en sous-sol.

Proximité :
- 1 à 10 minutes de toutes commodités : hammam, pharmacie, tram, Marjane, Morocco Mall, etc.

Prix : 1 196 000 MAD
Prix légèrement négociable","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Surface habitable\n98 m²': 'Surface habitable\n98 m²', 'Surface extérieure\n13 m²': 'Surface extérieure\n13 m²', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Étage du bien\n5ème': 'Étage du bien\n5ème', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Façade extérieure': 'Façade extérieure', 'Antenne parabolique': 'Antenne parabolique', 'Climatisation': 'Climatisation', 'Cuisine équipée': 'Cuisine équipée'}","{'Type de bien': 'Appartement', 'Surface habitable': '98 m²', 'Surface extérieure': '13 m²', 'Etat': 'Bon état', 'Etat du bien': '10-20 ans', 'Étage du bien': '5ème', 'Type du sol': 'Marbre'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Façade extérieure': 'Façade extérieure', 'Antenne parabolique': 'Antenne parabolique', 'Climatisation': 'Climatisation', 'Cuisine équipée': 'Cuisine équipée'}",Ascenseur,,Cuisine équipée,,,Terrasse,Garage,,,,Antenne parabolique,,Concierge,,Climatisation,,,,,,,Façade extérieure,,,Appartement,Bon état,,5ème,,,10-20 ans,,Marbre,98 m²,13 m²,,,,
460 000 DH,55 m²,3 Pièces,3 Chambres,1 Salle de bain,Oulfa à Casablanca,"Appartement à vendre à Hay Firdaous
L'appartement contient un salon et deux chambres à coucher. il est situé au 3è étage. deux façade (est et ouest)
surface 55 mettre carré.
Immeuble bien entretenu.
Syndic 50,00 DH.
Prix: 460000,00 DH négociable","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Surface habitable\n55 m²': 'Surface habitable\n55 m²', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Étage du bien\n3ème': 'Étage du bien\n3ème', 'Orientation\nOuest': 'Orientation\nOuest', 'Type du sol\nCarrelage': 'Type du sol\nCarrelage'}",{'Concierge': 'Concierge'},"{'Type de bien': 'Appartement', 'Surface habitable': '55 m²', 'Etat': 'Bon état', 'Etat du bien': '10-20 ans', 'Étage du bien': '3ème', 'Orientation': 'Ouest', 'Type du sol': 'Carrelage'}",{'Concierge': 'Concierge'},,,,,,,,,,,,,Concierge,,,,,,,,,,,,Appartement,Bon état,,3ème,,,10-20 ans,Ouest,Carrelage,55 m²,,,,,
350 000 DH,32 m²,1 Salle de bain,,,Aïn Sebaâ à Casablanca,"Local neuf en vente sur Ain sebaa
Local commercial neuf en vente sur Ain sebaa à deux pas du boulevard chafchaouni.
Idéal pour plusieurs activités, d’une superficie total de 32 m2 dont 10 m2 de mezzanine.
Pour toutes informations ou visite n’hésitez pas à nous contacter.","{'Type de bien\nLocal commercial': 'Type de bien\nLocal commercial', 'Etat\nNouveau': 'Etat\nNouveau', ""Etat du bien\nMoins d'un an"": ""Etat du bien\nMoins d'un an""}",{},"{'Type de bien': 'Local commercial', 'Etat': 'Nouveau', 'Etat du bien': ""Moins d'un an""}",{},,,,,,,,,,,,,,,,,,,,,,,,,Local commercial,Nouveau,,,,,Moins d'un an,,,,,,,,
3 000 000 DH,82 m²,1 Salle de bain,,,Palmier à Casablanca,"Cafe a vendre mur est fond palmier rue soumia
À VENDRE : Café casablanca eden . bien situé à Rue Soumia, Quartier Palmier, Casablanca

Localisation exceptionnelle :
Nom du Café : casablanca eden .adresse . immeuble eden . quartier palmier rue soumia proche de boulevard abdelmoumne proche maison renault
dans le quartier dynamique et prisé de Palmier.
Caractéristiques du café :

Superficie totale : 112 m²
Rez-de-chaussée : 41 m²
Mezzanine (soupente) : 41 m²
Terrasse : 30 m²
avec autorisation restaurant cafe
prix . trois million de dhs
Emplacement idéal avec une forte visibilité et passage fréquent.
Opportunité rare pour investisseurs ou entrepreneurs dans un quartier en plein essor.
Avantages :
Clientèle fidèle et potentiel de développement.
Entièrement équipé, prêt à fonctionner.
Contactez-nous pour plus d'informations ou pour une visite","{'Type de bien\nLocal commercial': 'Type de bien\nLocal commercial', 'Etat\nNouveau': 'Etat\nNouveau', ""Etat du bien\nMoins d'un an"": ""Etat du bien\nMoins d'un an"", 'Étage du bien\n1er': 'Étage du bien\n1er', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}",{},"{'Type de bien': 'Local commercial', 'Etat': 'Nouveau', 'Etat du bien': ""Moins d'un an"", 'Étage du bien': '1er', 'Type du sol': 'Marbre'}",{},,,,,,,,,,,,,,,,,,,,,,,,,Local commercial,Nouveau,,1er,,,Moins d'un an,,Marbre,,,,,,
6 500 000 DH,389 m²,,,,Ain Diab Extension à Casablanca,"Terrain en vente à Ain Diab Extension. Surface de 389 m²
Belle affaire pour ce terrain à vendre. Prix 6 500 000 DH. Surface du bien : 389 m².

Venez découvrir ce terrain de 389 m carrés dans une résidence de 22 villas en vente à Ain Diab Extension, à coté de la Residence sindibad et de Morocco Mall Casablanca.","{'Type de bien\nTerrain': 'Type de bien\nTerrain', 'Type de terrain\nLots de villa': 'Type de terrain\nLots de villa', 'Constructibilité\nR+1': 'Constructibilité\nR+1', 'Livraison\nTitré': 'Livraison\nTitré', 'Statut du terrain\nLoti': 'Statut du terrain\nLoti'}",{},"{'Type de bien': 'Terrain', 'Type de terrain': 'Lots de villa', 'Constructibilité': 'R+1', 'Livraison': 'Titré', 'Statut du terrain': 'Loti'}",{},,,,,,,,,,,,,,,,,,,,,,,,,Terrain,,,,,,,,,,,Lots de villa,R+1,Titré,Loti
